Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),GeneList
DisGeNET,35,C0015397,Disorder of eye,,-2.1,7.3,4.1,30337,400,31,3,9.7,5.3,5322|7018|10002,PLA2G5|TF|NR2E3,0,MyList
DisGeNET,35,C4528257,Corpuscular Hemoglobin Concentration Mean,,-2.1,7.3,4.1,30337,401,31,3,9.7,5.3,7018|8358|57610,TF|H3C2|RANBP10,0,MyList
Transcription Factor Targets,16,M399,SMTTTTGT UNKNOWN,,-2.1,7.2,4,30337,407,31,3,9.7,5.3,4154|6421|27042,MBNL1|SFPQ|UTP25,0,MyList
DisGeNET,35,C0016057,Fibrosarcoma,,-2.1,7.1,4,30337,413,31,3,9.7,5.3,1956|1958|55183,EGFR|EGR1|RIF1,0,MyList
DisGeNET,35,C0036202,Sarcoidosis,,-2.1,7.1,4,30337,413,31,3,9.7,5.3,1958|3184|5034,EGR1|HNRNPD|P4HB,0,MyList
DisGeNET,35,C0345967,Malignant mesothelioma,,-2.1,7,4,30337,420,31,3,9.7,5.3,1956|4363|7018,EGFR|ABCC1|TF,0,MyList
DisGeNET,35,C0020615,Hypoglycemia,,-2.1,7,4,30337,420,31,3,9.7,5.3,1956|5034|6934,EGFR|P4HB|TCF7L2,0,MyList
DisGeNET,35,C0685938,Malignant neoplasm of gastrointestinal tract,,-2,6.9,3.9,30337,423,31,3,9.7,5.3,1956|4363|6934,EGFR|ABCC1|TCF7L2,0,MyList
DisGeNET,35,C3811653,Experimental Organism Basal Cell Carcinoma,,-2,6.7,3.9,30337,437,31,3,9.7,5.3,1956|6934|79623,EGFR|TCF7L2|GALNT14,0,MyList
Cell Type Signatures,7,M39077,ZHONG PFC MAJOR TYPES MICROGLIA,,-2,6.7,3.8,30337,438,31,3,9.7,5.3,1958|3587|4154,EGR1|IL10RA|MBNL1,0,MyList
