Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
RNA Polymerase II Transcription R-HSA-73857	4/1312	0.14265330062471698	0.20115825787417585	0	0	2.1136028995356213	4.115899377743284	PPP2CB;TCF7L2;NR2E3;EGFR
L1CAM Interactions R-HSA-373760	1/99	0.14268202012005496	0.20115825787417585	0	0	6.758843537414966	13.16039270810627	EGFR
TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138	1/101	0.1453509096429046	0.20312251891332708	0	0	6.623	12.773146899499723	PPP2CB
ABC-family Proteins Mediated Transport R-HSA-382556	1/102	0.14668233749516316	0.20312251891332708	0	0	6.557095709570957	12.586253414445132	ABCC1
MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155	1/102	0.14668233749516316	0.20312251891332708	0	0	6.557095709570957	12.586253414445132	PPP2CB
Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164	1/103	0.14801175796785074	0.20312251891332708	0	0	6.492483660130719	12.40365346374743	PPP2CB
Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181	1/103	0.14801175796785074	0.20312251891332708	0	0	6.492483660130719	12.40365346374743	PPP2CB
PI3K/AKT Signaling In Cancer R-HSA-2219528	1/105	0.15066458849071662	0.2038857295982953	0	0	6.36698717948718	12.05079142079369	EGFR
Integration Of Energy Metabolism R-HSA-163685	1/105	0.15066458849071662	0.2038857295982953	0	0	6.36698717948718	12.05079142079369	PPP2CB
Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138	1/106	0.15198800438142535	0.2038857295982953	0	0	6.306031746031746	11.880271712830174	PPP2CB
Resolution Of Sister Chromatid Cohesion R-HSA-2500257	1/106	0.15198800438142535	0.2038857295982953	0	0	6.306031746031746	11.880271712830174	PPP2CB
O-linked Glycosylation R-HSA-5173105	1/107	0.1533094245816639	0.2038857295982953	0	0	6.246226415094339	11.713529763522214	GALNT14
MyD88-independent TLR4 Cascade R-HSA-166166	1/107	0.1533094245816639	0.2038857295982953	0	0	6.246226415094339	11.713529763522214	PPP2CB
SRP-dependent Cotranslational Protein Targeting To Membrane R-HSA-1799339	1/108	0.15462885200071758	0.20458586572402632	0	0	6.187538940809969	11.55044932516124	RPN2
Mitotic Spindle Checkpoint R-HSA-69618	1/110	0.15726174007999252	0.20687902471647684	0	0	6.073394495412844	11.234830711924577	PPP2CB
GPCR Ligand Binding R-HSA-500792	2/458	0.15796576693467418	0.20687902471647684	0	0	2.9511494252873565	5.44598307939556	CORT;LPAR1
Mitotic Prophase R-HSA-68875	1/112	0.15988669182841242	0.20729028387804224	0	0	5.963363363363364	10.932573768600097	PPP2CB
MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058	1/112	0.15988669182841242	0.20729028387804224	0	0	5.963363363363364	10.932573768600097	PPP2CB
RHO GTPases Activate Formins R-HSA-5663220	1/119	0.16901185764040969	0.2180252963561285	0	0	5.607627118644068	9.969163244438311	PPP2CB
HCMV Infection R-HSA-9609646	1/121	0.17160138113774454	0.22026445937083625	0	0	5.5136111111111115	9.718186424971936	EGFR
Metabolism Of Water-Soluble Vitamins And Cofactors R-HSA-196849	1/122	0.17289321275049702	0.22082400440410016	0	0	5.467768595041322	9.596377552221062	ABCC1
Platelet Degranulation R-HSA-114608	1/125	0.1767570211186702	0.2246468544266843	0	0	5.334677419354839	9.244885281458137	TF
Glycerophospholipid Biosynthesis R-HSA-1483206	1/127	0.17932318303095868	0.22679108442150656	0	0	5.249470899470899	9.021560154796335	PLA2G5
G1/S Transition R-HSA-69206	1/129	0.18188160313378351	0.22890465174885927	0	0	5.166927083333333	8.806507089090594	PPP2CB
Response To Elevated Platelet Cytosolic Ca2+ R-HSA-76005	1/130	0.18315791706780568	0.2290113849609031	0	0	5.126614987080103	8.701949927392622	TF
Gene Expression (Transcription) R-HSA-74160	4/1449	0.18374169258491063	0.2290113849609031	0	0	1.8991669870562604	3.2176149586184963	PPP2CB;TCF7L2;NR2E3;EGFR
Signaling By Hedgehog R-HSA-5358351	1/135	0.18951063804745089	0.23506607988578043	0	0	4.9340796019900495	8.2069045278778	P4HB
PTEN Regulation R-HSA-6807070	1/139	0.1945583644683707	0.24017252647291693	0	0	4.790096618357488	7.841498751053612	EGR1
Toll Like Receptor 4 (TLR4) Cascade R-HSA-166016	1/140	0.19581553454919778	0.24057337101758586	0	0	4.755395683453237	7.754063618028026	PPP2CB
Beta-catenin Independent WNT Signaling R-HSA-3858494	1/142	0.19832418036460078	0.24250065655955924	0	0	4.687470449172577	7.58363490639918	TCF7L2
Mitotic G1 Phase And G1/S Transition R-HSA-453279	1/147	0.20456270694060813	0.24894895467300424	0	0	4.525799086757991	7.181903291174946	PPP2CB
Metabolism R-HSA-1430728	5/2049	0.20669704028653965	0.25036542907947057	0	0	1.6864556676200513	2.6586992678592702	PPP2CB;ABCC1;PLA2G5;UPP1;COQ9
Regulation Of TP53 Activity R-HSA-5633007	1/157	0.21689912307345394	0.2614952044530426	0	0	4.233547008547008	6.470226858986776	PPP2CB
Toll-like Receptor Cascades R-HSA-168898	1/162	0.22299769481117998	0.267597233773416	0	0	4.101035196687371	6.153988173231848	PPP2CB
Hemostasis R-HSA-109582	2/576	0.22423822996260087	0.26784010801088437	0	0	2.330289559053226	3.483890703150642	PPP2CB;TF
Transport To Golgi And Subsequent Modification R-HSA-948021	1/164	0.22542423205928352	0.26801590724099145	0	0	4.050306748466258	6.034030248783499	MAN1A2
Developmental Biology R-HSA-1266738	3/1073	0.23045183807348463	0.27273657900439924	0	0	1.892423230974633	2.7775349039700767	TCF7L2;KLF5;EGFR
Separation Of Sister Chromatids R-HSA-2467813	1/170	0.2326599241301261	0.2740925133587787	0	0	3.905325443786982	5.694657476308816	PPP2CB
Fatty Acid Metabolism R-HSA-8978868	1/173	0.23625319747169657	0.2770605679440805	0	0	3.8366279069767444	5.535683096771687	ABCC1
mRNA Splicing - Major Pathway R-HSA-72163	1/181	0.24575583230160786	0.2856081294315983	0	0	3.6646296296296295	5.14300274246623	HNRNPD
Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442	1/181	0.24575583230160786	0.2856081294315983	0	0	3.6646296296296295	5.14300274246623	MAN1A2
G2/M Transition R-HSA-69275	1/182	0.24693558582772135	0.28569229212355207	0	0	3.6441988950276243	5.096877746611394	PPP2CB
Mitotic G2-G2/M Phases R-HSA-453274	1/184	0.24928973785755917	0.28712835878236725	0	0	3.604007285974499	5.006468710309246	PPP2CB
Mitotic Prometaphase R-HSA-68877	1/186	0.251636767276824	0.2885434931440915	0	0	3.5646846846846847	4.918440107268859	PPP2CB
ESR-mediated Signaling R-HSA-8939211	1/188	0.2539766948759526	0.28993799680529103	0	0	3.52620320855615	4.832706522110258	EGFR
mRNA Splicing R-HSA-72172	1/189	0.2551440019839143	0.2899874559993387	0	0	3.5072695035460995	4.790674740907671	HNRNPD
Peptide Ligand-Binding Receptors R-HSA-375276	1/196	0.26326580191391463	0.29790603900785073	0	0	3.3801709401709403	4.511146065081219	CORT
Interferon Signaling R-HSA-913531	1/200	0.2678682819607093	0.3017904661391397	0	0	3.3115577889447234	4.362182296847866	EGR1
Signaling By NOTCH R-HSA-157118	1/203	0.27130186937220124	0.30432992303490397	0	0	3.261881188118812	4.255199584153424	EGFR
Phospholipid Metabolism R-HSA-1483257	1/208	0.27698991338733187	0.3093653578092278	0	0	3.1822866344605476	4.085337437661834	PLA2G5
Disease R-HSA-1643685	4/1736	0.2804768193628609	0.3119095663604229	0	0	1.5599178855529894	1.9830677594923556	PPP2CB;TCF7L2;RPN2;EGFR
Mitotic Anaphase R-HSA-68882	1/232	0.3036997777963908	0.33605239586820773	0	0	2.848196248196248	3.3942400107364574	PPP2CB
Mitotic Metaphase And Anaphase R-HSA-2555396	1/233	0.30479170788046744	0.33605239586820773	0	0	2.8357758620689655	3.3692609053697073	PPP2CB
Metabolism Of Lipids R-HSA-556833	2/732	0.3145318255147692	0.3438667678897217	0	0	1.8175720358998584	2.1023310721299326	ABCC1;PLA2G5
Processing Of Capped Intron-Containing Pre-mRNA R-HSA-72203	1/242	0.314544795434009	0.3438667678897217	0	0	2.728630705394191	3.156012801591166	HNRNPD
Platelet Activation, Signaling And Aggregation R-HSA-76002	1/254	0.3273431449540084	0.35634823374740154	0	0	2.597628458498024	2.900891931730897	TF
Signaling By Nuclear Receptors R-HSA-9006931	1/260	0.33365529262911325	0.36169355251391266	0	0	2.5366795366795367	2.784378371235604	EGFR
RHO GTPase Effectors R-HSA-195258	1/269	0.34301616041078015	0.370285227556407	0	0	2.450373134328358	2.621844654580471	PPP2CB
Cell Cycle Checkpoints R-HSA-69620	1/271	0.34507900380044176	0.37095992908547487	0	0	2.4319753086419755	2.587577689319075	PPP2CB
Translation R-HSA-72766	1/281	0.3552995569486687	0.3787953059046184	0	0	2.3439285714285716	2.4254832758986744	RPN2
Immune System R-HSA-168256	4/1943	0.3553041241430917	0.3787953059046184	0	0	1.377571485874735	1.425485031883195	PPP2CB;EGR1;IL10RA;P4HB
SARS-CoV-2 Infection R-HSA-9694516	1/283	0.3573250629126951	0.3793821655616269	0	0	2.3270685579196217	2.3948080601966284	RPN2
Metabolism Of Carbohydrates R-HSA-71387	1/285	0.35934440989042904	0.37996253176938805	0	0	2.3104460093896715	2.364681399048028	PPP2CB
Extracellular Matrix Organization R-HSA-1474244	1/291	0.36536567732395275	0.38475242754930533	0	0	2.2619540229885056	2.277463271888836	P4HB
Transcriptional Regulation By TP53 R-HSA-3700989	1/354	0.42537198022543804	0.44612183291936186	0	0	1.8523135033050047	1.5833413661284401	PPP2CB
SARS-CoV Infections R-HSA-9679506	1/369	0.43882832720855286	0.45837128914901476	0	0	1.7754528985507247	1.4623464474663075	RPN2
Infectious Disease R-HSA-5663205	2/961	0.4428279673351903	0.46068393375999633	0	0	1.3670849663802094	1.1135917599625744	RPN2;EGFR
M Phase R-HSA-68886	1/380	0.4485019748910289	0.46471288964612634	0	0	1.7229551451187335	1.3815381340159147	PPP2CB
Axon Guidance R-HSA-422475	1/519	0.5576661143698883	0.5755114300297248	0	0	1.2516731016731018	0.7309706540657691	EGFR
Cell Cycle, Mitotic R-HSA-69278	1/523	0.5604751423609574	0.5761059232236135	0	0	1.2418263090676884	0.718980658123258	PPP2CB
Nervous System Development R-HSA-9675108	1/545	0.5756188898724028	0.5893241015360314	0	0	1.1902573529411764	0.6573904277628353	EGFR
Signaling By Rho GTPases R-HSA-194315	1/644	0.6377412851345322	0.6503448678447009	0	0	1.0018662519440125	0.4506620693495409	PPP2CB
Cell Cycle R-HSA-1640170	1/654	0.6435027876711417	0.6536366898391911	0	0	0.9860132720775906	0.4346631657469413	PPP2CB
Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542	1/660	0.6469170170475838	0.6545278054834377	0	0	0.9767324228629236	0.4254033541699858	PPP2CB
Metabolism Of RNA R-HSA-8953854	1/666	0.6502995927293806	0.655380058297579	0	0	0.9676190476190476	0.4163878706234015	HNRNPD
Adaptive Immune System R-HSA-1280218	1/733	0.6860042001590217	0.6886734772024421	0	0	0.8760018214936248	0.33014014551761084	PPP2CB
Innate Immune System R-HSA-168249	1/1035	0.8076645877026408	0.8076645877026408	0	0	0.6104126370083817	0.1303892794730227	PPP2CB
